,comments
426,"Ce n'est pas sérieux ce que vous faites , j'ai fais un abonnement mensuel mais chaque fois il 'y a pas connexion, ça s'est produit le mois dernier et actuellement depuis hier nous n'avons pas de connexion il faut encore acheter de pass or à la fin du mois on va payer c'est méchant"
427,Sérieux Nifa est fort hum
428,J’encaisse j’encaisse
429,Orange money toujours
430,Vous avez quel problème même ???????
431,Bonjour orange
432,"Voici plus de 4 jours que je n’arrive pas à joindre vos services pour dépanner ma fibre.
J’ai Tout essayé 0707, 0909 , le site et même passer par l’application maxit. Sur lappli On me répond que ma réclamation est déjà traitée.
c’est la deuxième fois en moins d’une semaine. La première fois juste après mon reabonnement et ça durer une semaine. Et vous en compensez pas les jours perdu
Ok ok .
J’attend votre appel quand mon abonnement arrivera à échéance comme d’hab."
433,"Vous êtes très faux, essayez d'améliorer le service de réclamation, par erreur j'ai envoyé 100k à quelqu'un j'ai fais une réclamation maintenant plus de 2 semaines l'argent n'es toujours pas retourné."
434,"Orange Money, je viens d'effectuer l'inscription en ligne de ma petite sœur et j'ai été facturé 10000f au lieu de 6000f j'ai appelé le service client et jusqu'à là rien....."
435,C'est dû lourd wep suis dedans comme ça
436,"J'ai créé un coffre fort en fin juillet et tout récemment; vendredi dernier pour être plus précis, j'ai rallongé la date de l'échéance pour fin septembre. J'y ai déposé 500f ! Aujourd'hui je reviens pour déposer de l'argent dans mon coffre Maxit m'informe que je n'ai pas de coffre fort. S'il vous plaît Orange vous n'avez pas idée de ce que je peux faire à cause de ces 500f donc je veux revoir mon coffre fort à sa place à la fin de cette journée.
Et de grâce ne me parlé pas de votre service client qui ne s'intéresse qu'aux note qu'on va leurs attribuer à la fin des appels. À chaque fois que j'appelle le service client ils font tous sauf résoudre mon problème merci"
437,"Orange Money
le dernier jeux de 50milles sans like j'ai gagné c'est comment parce que ça fait une semaine bientôt"
438,"Mon petit styliste du Dokui , très talentueux"
439,"Moi je veux commander la cubaine que tu portes
Très très bonne continuation avec tes clients et surtout avec orange monnaie"
440,Très class !!
441,Braaaaavooooooooooooo
442,Dosa style le meilleur
443,"Bravo mon fils, force à toi, je te sais courageux et perfectionniste. Par la grâce de Dieu on te comptera bientôt parmi les meilleurs couturiers, modéliste en Côte d'ivoire."
444,"C’est toujours bien fait!
Bcp de courage pour la suite"
445,Tu es fort mon fils
446,"PDG de Dossa style s'il vous plaît
Il fait de très belles créations hein n'hésitez surtout pas"
447,Un très grand styliste retenez son nom
448,Bravo fiston..on est avec toi
449,Un grand styliste
450,Force a toi ' très fort dans son domaine
451,Retenez ce nom !! Travaille soigne respecte de la parole donnée et surtout avec le sourire
452,Mon petit frère heinn
453,"Petit à petit L’oiseau fait son nid
vraiment fière mon frerot"
454,La vie est vraiment simple avec orange money
455,Bravo bravo bravo mon fils bisous que dieu te bénisse
456,Félicitations à toi mon grand frère chéri que j'aime beaucoup.
457,"Force à toi bro
Ce n’est que le début"
458,La qualité de ses pièces
459,Mon styliste préféré
460,Même suspect 95 a validé les chemises de Dossa style
461,Courage bro
462,Bravo fils !! Tous mes félicitations et encouragements..
463,Ne négligez pas les chemises de mon gars hein ça sort fort même !
464,Dossa style
465,"Objet : Usurpation d'identité et ouverture frauduleuse de compte Orange Bank
Bonjour Orange,
Je viens par ce message vous signaler une situation grave qui m’est arrivée aujourd’hui.
En voulant créer mon compte Orange Bank, j’ai été redirigé vers une agence. Une fois sur place, une conseillère a entamé le processus et m’a demandé de lire un message reçu sur mon téléphone. À ma grande surprise, ce message concernait un compte déjà existant à mon nom, que je n’ai jamais créé.
Après vérification, elle m’a informé que cinq numéros de téléphone sont enregistrés à mon nom, alors que je n’ai acquis que deux cartes SIM, dans l’agence Orange de Gonzagueville, précisément au carrefour Motard.
Le plus inquiétant, c’est que l’un de ces numéros inconnus a été utilisé pour ouvrir un compte Orange Bank, avec un prêt de 33 000 FCFA contracté à mon insu, en utilisant mes informations personnelles.
Je tiens à préciser que je n’ai jamais acheté de carte SIM en dehors de votre agence."
466,J’apprécie surtout la qualité des finitions. Merci
467,Toujours efficace
468,"Très bon tailleur, tous mes encouragements"
469,"Très fier de toi mon style
Touré Juju"
470,Toutes mes admirations
471,Dossa à vie
472,"Touré Juju
C'est bien fait bro"
473,"Lorsque le travail est bien fait, on ne peut que être fier.
Touré Juju
DOSSA_style"
474,Nous étions là depuis le début et c’est une grande fierté. Allahou n’a pas encore fini
475,Mon styliste fort
476,"Chaque détail compte
Toujours Dossa style"
477,Mon styliste
478,"Touré Juju
Wow
! Je me souviens encore de tes débuts, quand tu faisais tes premières créations avec passion et détermination. Aujourd’hui, voir tout ce que tu as accompli me rend vraiment fier de toi
. Continue de briller, tu es une vraie source d’inspiration
!"
479,"Force à toi tu as tout mon soutien
Prosperihno"
480,"Mes félicitations mon petit, je suis fière de toi. Qu’Allah t’assiste"
481,Bravo! Trop fière de toi!!
482,Bravo
483,"Himra
, voilà ton son en fond sonore Huin le chetté"
484,Ah c'est super sa je passe ma commande alors
485,Mon fils tu es en tatiana
486,Courage
487,Dossa style et Orange money top
488,Force à toi
489,"Avec Dossa Style, il n'y a que la qualité
. Tout est dans les détails"
490,Force à toi bro
491,Dossa Style
492,Toujours bien fait avec Dossa Style
493,"Pourtant son modèle c’est
Didi B
heun
Eh bayo"
494,Bravooo
495,Je te souhaite toujours le meilleur
496,Très très fort je confirme
497,Bravo frerot
498,Faut reconnaître qu’il est très très très très honnête franchement. On te souhaite le meilleur frère. Le travail bien fait avec honnêteté paie toujours. Bon vent à toi et ta marque.
499,Dossa style la référence.
500,Une nouvelle étape. Felicitations boss
501,Braaavo. Très belle finition surtout. J'adore tes chemises
502,"Je viens d'effectuer un retrait ce jeudi matin à 8h et jusqu'à présent rien reçu
Orange Money"
503,C'est trop cool merci a orange
504,"j'ai effectué un retrait depuis la semaine dernière
Orange
ne m'a pas encore envoyé les frais de retrait comme promis jusqu'à présent comme promis, malgré mes relances
CAS-36726645-W8V7C3"
505,J'ai pensé vous allé dire remboursement des data coupé
506,Ce matin j'ai fait un retrait j'ai pas reçu les frais
507,"C'est Dohi j'ai retiré 1 millions j'ai pas été rembourse après avoir fait un autre retrait de 13 mille Ils m'ont rembourser 130 Franc
Orange Money"
508,"Orange Money
ça fait plus d'une année maintenant j'attends votre approbation pour changer de profil et déplafonné mon compte. Malheureusement pour moi cela fait plusieurs temps que j'attends, ont me dit que c'est en cours. Pour ce raison je pas trop la possibilité de faire des transactions avec mon numéro."
509,Dohi Bala
510,C'est zooo
511,+454 c'est orange forcément ya longtemps j'ai pas reçu de dépôt innnh
512,"Sara Nancy
Je pense à vous également
.."
513,"Je pense à
Orange Money
hein"
514,"Bonsoir,
Orange
Cela fait maintenant trois semaines que je n’ai plus de connexion sur ma box fibre. Vos conseillers m’ont contacté, mais le problème persiste. J’ai déjà payé mon abonnement deux fois et si la situation continue ainsi, je serai contraint de résilier la box et de passer à un autre réseau."
515,"Orange Côte d’Ivoire je ne comprends plus rien le forfait 300 f / 300 mo n’existe pratiquement pas ou est inefficace. A peine la moitié d’une vidéo de 15 min regarder sur YouTube , je me retrouve à 50 et de surcroît ne passe plus , la vidéo en question…. je souscris encore , à peine vérifié mes messages sur watts, je me retrouve avec 9mo , c’est pas nous tous qui pouvons acheter champagne
1 million dans bar hein pr venir souscrire 10000 internet
on a assez de problèmes donc revoyez la qualité de vos forfaits, maintenant c’est abusé. Merci"
516,"RESPECTEZ NOUS!!!!
J'ai renouvellé notre abonnement de la fibre le dimanche 31 août aux alentours de 20h.
Nous n'avons pas eu la connexion.
Hier, j'ai appelé le service client.
Nous avons échangé.
L'agent au bout du fil dit avoir transmis la requête au service technique.
Jusqu'à cette heure, nous n'avons pas de connexion.
ORANGE, je veux ma connexion ou remboursez mes 25000 fcfa, je vais allez chez vos concurrents."
517,"Orange
on a souffert avec vous oooh
. Vraiment on ne cessera de dire merci à
Wave Côte d'Ivoire"
518,Bonsoir orange j'ai souscrit depuis hier mais ma connexion n'est pas activée depuis chez vous
519,Y’a quoi et puis depuis matin vos conseillers sont en ligne ? Vous vous foutez des gens c’est cela ?
520,La connexion internet d'orange est minable actuellement
521,Une idéologie l'ivoirien nouveau.
522,Essayez Milano
523,"Bonjour
Orange
Ça fait 3 mois que nous avons payé pour l’installation de la fibre chez nous
Depuis le technicien chargé de nous aider nous fait tourner en rond"
524,"Orange
mes 40f"
525,"FIBRE Orange CI , ce qui est horrible, c'est quand on vous contacte par votre 0909 , souhaitant parler à un conseiller client pour votre connexion internet qui ne fonctionne pas depuis plus de 02 semaines et que la seule orientation du service en ligne c'est de télécharger maxit. Tout en sachant que rien ne passe sur votre ''maxit'' pour faire une réclamation. En fin de compte, à quel saint se vouer ??? Pfff, y en a marre."
526,"Orange
tchai vous avez un problème de réseau maintenant hin ,on peut même plus bien envoyer les sms"
527,"Orange
Orange Money
Moi c'est dans mon coin et j'ai reçu vos messages, mon premier paiement du mois j'ai pris l'application et j'ai payé pour recharger mon canal + . Maintenant 1go d'internet vous ne donnez pas depuis dimanche aujourd'hui est lundi rien , j'appelle orange pour demander on m'a raccroche au nez . Vraiment merci votre compréhension . On fait les paiements et vous refusez de donner nos bonus. C'est ma dernière avec vous merci"
528,ÇA FAIT QUATRES SEMAINES J'AI DEMANDÉ L'INSTALLATION DE LA FIBRE ORANGE CHEZ MOI MAIS RIEN JUSQU'À PRÉSENT. POURTANT J'AI DÉJÀ SOUSCRIT. SVP LE CM FAITES LE RAPPORT. MERCI
529,Bonsoir quand vous avez problème de réseau qui va jouer sur notre connexion parlez ou envoyer un sms parce que c’est énervant à la fin je ne peux rien faire 10 minutes pour faire un téléchargement de 15mb depuis hier c’est pareil
530,"#ARNAQUE_2250714504215
+2250714504215
+2250713234704
Bonjour
Orange Money CÔTE D'IVOIRE
,
Orange CÔTE D'IVOIRE
Orange CÔTE D'IVOIRE
Orange CÔTE D'IVOIRE
Orange Bank CI
Fondation Orange
Il serait important de veiller à ce que vos numéros ne soient pas utilisés par des individus pour arnaquer des personnes, surtout lorsqu’il s’agit de numéros professionnels visibles sur Facebook.
Cela nuit à l’image de votre entreprise et à la confiance des usagers.
©Nous espérons aussi que la Plcc- Plateforme de Lutte Contre la Cybercriminalité CÔTE D'IVOIRE
pourra y jeter un regard attentif.
Merci.
@à la une"
531,"Orange money ya un truc vous devez revoir hein , pour déplafonner son compte on est obligés d’aller jusqu’à l’agence ce taper le rang parce que vous avez bcp d’opérations ou il faut se rendre à l’agence obligatoirement franchement hein c’est pas facile avec vous, mardi je suis allé faire le rang jusqu’à mais malgré ça aujourd’hui dimanche mon compte n’est tjrs pas déplafonné, il faut que je parte encore demain lundi , et si j’avais besoin urgemment de mon argent ? Franchement revoyez vous"
532,J'ai bien l'envie de profiter mais mon OM est vide
533,Orange CI comment vous faites pour qu'un forfait de 108 Mo ne puisse pas permettre l'accès à internet... C'est incroyable !
534,"Orange
Svp est qu'il y'a un moyen pour débloquer mon coffre avant la date d'échéance pour un cas d'urgence ?"
535,"Je me promenait au nom de Orange priez pour un dépôt MTN il m'ont barré la route barré la route ohhh qu'elle malheur je me promenait
Orange"
536,J’ai des problèmes depuis deux semaine avec ma fibre illimité internet. J’appelle le service client aussi personne ne répond. J’ai payer la facture avant l’heur limite et depuis sa ne passe plus. J’ai besoin d’une réponse et d’une aide.
537,"Svp jai un soucis, j'ai une puce orange quand j'essaie d'activer la connexion Internet mais rien ne s'affiche"
538,"Objet : Signalement d’un incident non résolu – Demande d’intervention urgente
Bonjour Monsieur le Directeur,
Je me permets de vous adresser ce message en tant que dernier recours, et je vous prie de bien vouloir excuser cette démarche inhabituelle.
Je suis Monsieur Ouattara Boniface, client de vos services, et je fais face à une situation préoccupante qui reste sans solution depuis plus d’un mois.
En effet, lors d’une transaction effectuée depuis mon compte OM vers ma carte VISA, le montant a bien été débité de mon compte, mais la carte n’a jamais été créditée. J’ai immédiatement signalé l’incident via l’application Max It, puis, face à l’absence de retour, je l’ai également signalé par téléphone, sur votre site Internet, ainsi que via votre messagerie WhatsApp.
Malgré tous ces efforts, je n’ai reçu aucune réponse satisfaisante. Pire encore, j’ai reçu des messages m’indiquant que le dossier avait été traité, alors que la situation reste inchangée.
Je suis sincèrement déçu par le manque de réactivité et le silence de vos services, ce qui me donne le sentiment d’être victime d’une négligence regrettable. Avant d’engager d’éventuelles démarches auprès des autorités compétentes, je sollicite votre bienveillance afin que vous puissiez personnellement intervenir pour débloquer cette situation.
Je vous remercie par avance pour l’attention que vous porterez à ma requête et reste à votre disposition pour tout complément d’information.
Cordialement,
Ouattara Boniface"
539,Arrêtez de voler l'argent des clients il n'est pas le votre
540,Orange money restera mon préféré
541,Orange meilleure réseaux
542,Quand c'est bon c'est orange money toujours
543,Vous êtes sûre la bonne voie
544,Du courage à vous on est avec vous toujours
545,C'est orange qui gagne c'est pas dohyi meilleure réseau au monde
546,"Fin du jeu !
Merci à toutes et tous pour vos participations
Les gagnants seront contactés en privé.
Restez connectés, pour d'autres surprises"
547,"Moi même je dois Orange Bank …eux m’appellent seulement je décroche pas
…yai pas dit que je paye pas …"
548,"Christian Lova Kouassi
Nuela Kevine
Moumouni Lefrais Koffi
Souhoulou SoulBen
Tony Priince Koffi"
549,"Francky Manadja
Marina Koffi
Olyvier Kouakou
Momo Bak
Ousmane Coulibaly
Marcelo Hermann"
550,"Ange Ismael Kacou
,
Esther Théodorah
Sarah Sehi
Audrey Yasmine"
551,Laisse tout ça là ! Viens prendre les # Vieu Ahi
552,Mon numéro est tellement OM
553,C’est vibrant
554,Très très orange
555,"Orange
je veux mon bonus internet"
556,"Quand on dit rap c'est toi vieux, tchai trop fort"
557,En gang
558,Oui mon numéro est Orange money
559,Oui très Orange Money même
560,"Moi je me suis trompé sur un transfert
Par la suite , j’ai annulé
sur maxit
Mais je vous confirme que mon argent n’est jamais retourné
Pourtant si c’était W..e je dormais tranquille
Sérieusement je n’ai pas aimé
Merci
de me restituer mon argent et de trouver la bonne méthode"
561,Continuez de dormir sur votre position
562,"Même discours au lancement de MAX IT. Une application qui regroupe toutes les apps et fonctionnalités orange Ci.
Aujourd’hui on doit télécharger OM PAY.
Ce sera quoi la prochaine?"
563,Actuellement on est concentré sur une réduction du coût de l’internet
564,J'ai cru que anti-galère la même si tu n'as pas d'argent tu pouvais prendre crédit dessus
565,"Vous donnez jamais bonus , ou est anti galère la ? Souvent j'ai 500 je paye , on le donne bonus 500 , bonus la c'est pas unité qui expire hein , c'est Djai je peux retirer ."
566,Fait on va pouvoir faire les retraites
567,Mais à quoi sert Max it?
568,"Bon où est le nouveau dans tout ça, pas d’innovation. Les autres on déjà ces fonctionnalités. Et peut-être mieux."
569,"l'App est bonne, merci ensuite de faire les puces marchandes de tel sorte que MTN, afin qu'on puisse utiliser dans plusieurs activités."
570,"Kpaaaa Orange, donc vous auriez pu faire ça ?"
571,Mais Max It a déjà ces fonctionnalités là non?
572,"J'avais un soucis et orange m'a contacté pour régler le souci aujourd'hui dans la journée,depuis lors je donne un respect a vous
Orange"
573,"Donc vous pouvez faire ça depuis toutes ces années ?
C’est Dieu qui vas vous payer
Dépôt- transfert -retrait
Frais 500milles + nos grands parents et 2 ancêtres
Donc vous pouvez faire tout ça là?"
574,Rien de nouveau
575,"Orange Money
choisissez entre Maxit et OMpay, on télécharge laquelle et on désinstalle laquelle, faîtes vite"
576,Oui je l'ai OM pay très rapide
577,"Orange Money
svp dans la ville de Dabakala il y a grave problème de réseau la connexion internet ne passe pas quand nous sommes dans la maison pour ce fait nous sommes obligé de rester devant nos différents portails pour communiquer"
578,Il ONS voler mon téléphone et il on vider mon compte orange money vous êtes des complices mrd
579,Ce que l'on demande c'est ne retirer ou de déposer a l'argent sans syntaxe.
580,"C'est pas mieux ? C'est scanner nous on connaît même pain condiments on scanne, trop de procédure tue la procédure. On est dans un monde smart, tu suis tant mieux tu suis pas nous on va à la ligne."
581,Donc vous auriez pu faire sa depuis mais on etait dans #144# appuie 2 ensuite 3 mets code secret revient sur 0 pour annuler ect etc
582,https://chat.whatsapp.com/G1urlDszWPrKWICwjeorv4?mode=ac_t
583,"C'est pas petit réseau orange ci
De fois faites nous 1peu plaisir car aime;on partage ;on commente
*ORANGE on est ensemble *"
584,Comment annuler un transfert ?
585,"Merci bien, mais si on peut pas gratter pour avoir cadeau , c'est que je reviens"
586,C'est facile à utiliser merci beaucoup l'application 5 étoiles à l'application
587,J'ai téléchargé l'application mais je n'arrive pas à me connecter. A chaque tentative on m'envoie un lien. Je clique sur le lien et reviens au même.
588,Oui je la
589,On peut avoir un compte orange money avec des puces Moov ou MTN ????
590,Très facile à utiliser et très fluide
591,J'ai des problème avec mon o.m
592,Ouiiii depuis
593,OPEN.SPOTIFY.COM
594,"Dopelym - PhénOMène
L’album 454 dispo ici :
http://open.spotify.com/artist/50rmZcUokzp5TBC0n2ItX8"
595,KBINE 454
596,"Alpha Doumbia
famille"
597,Fouaaa c'est facile
598,"Cool, merci infiniment Orange"
599,"Retour d’expérience – Service Orange Money Côte d’Ivoire
Bonjour,
Je souhaite partager un retour d’expérience concernant une transaction Orange Money qui m’a particulièrement déçu et qui, je l’espère, contribuera à améliorer votre service.
Ce matin, j’ai effectué par erreur un transfert de 200 000 F CFA vers un mauvais numéro. Conscient que l’erreur venait de moi, j’ai immédiatement tenté d’utiliser la fonctionnalité d’annulation prévue dans votre application. Malheureusement, celle-ci affichait en permanence un message d’erreur, rendant l’opération impossible.
J’ai alors contacté le service client : là encore, on m’a indiqué que l’annulation ne fonctionnait pas non plus de leur côté, et que le dossier devait être transmis aux techniciens. On m’a précisé qu’une réponse pourrait intervenir sous 24 à 48 heures, sans pouvoir me confirmer si le montant était toujours disponible ou déjà retiré.
Finalement, ce n’est qu’à 19 h 20, grâce à la bonne foi et à la compréhension de la bénéficiaire, que j’ai pu récupérer mon argent. Je précise qu’un concurrent direct propose un remboursement immédiat pendant même l’appel au service client.
Je comprends que des incidents techniques peuvent survenir, mais pour une entreprise leader sur le marché, un tel délai de traitement sur un sujet aussi sensible qu’une transaction monétaire reste très préoccupant. Sans l’honnêteté de la destinataire, cette somme aurait été définitivement perdue, ce qui, en période difficile, est lourd de conséquences.
Je vous invite donc à :
1. Améliorer la fiabilité de la fonctionnalité d’annulation sur l’application.
2. Raccourcir les délais de traitement des réclamations liées aux transactions.
3. Renforcer la communication en fournissant aux clients des réponses claires et immédiates sur l’état de leurs fonds.
Je reste convaincu qu’Orange Côte d’Ivoire a les moyens d’offrir un service à la hauteur de sa position sur le marché, et j’espère que ce retour sera pris en considération.
Cordialement,"
600,"Donc max it est éliminé quoi ?
Depuis lors , il ne passe plus sur mon téléphone ."
601,La fibre ne passe pas depuis plusieurs jours on vous fait des réclamations rien. Le service client met en attente pendant plusieurs minutes et aucune solution. Le service est lent et très très nul.
602,"Orange Money
depuis mon abonnement j’ai pas accès a internet
jusqu’aujourd’hui et vous me faites balader depuis le 03 Août que vos techniciens on quitté le chez moi… je ne fais que appeler pour savoir a quel niveau est le problème"
603,C'est pas tes Yaki qui vont remplir mes poches
604,Retour
605,Orange djidji hein ma fibre passe pas depuis hier tchai vous voulez que l’homme change de réseaux oubien venir payer chaque fin du mois de somme élevé et tout le temps des soucis c’est pas affaire hein sérieux
606,Orange fibre est une véritable arnaque et en plus le service après vente n’existe pas
607,"63""36""6445(19:00)5000"
608,Bonjour. C'est pas normal que je sois sans connexion internet depuis maintenant deux jours après avoir renouvelé mon abonnement fibre
609,NOUS AVONS UN PROBLÈME DANS LA VÉRIFICATION DES SMS WHATSAPP DEPUIS 2 MOIS JUSQU'À MAINTENANT
610,"Ça fait plus de 2semaines que j’ai été prélevé 2 fois d’un même montant pour paiement de ma facture internet 3 requêtes au centre d’appel toujours rien. Si vous ne voulez pas que j’aille faire un scandale dans vos agence REMBOURSER MON ARGENT .
On vous 2 semaines pour rembourser 15mil ???"
611,Arrêtez de foutre la merde avec votre connexion fibre. Nous avons fait notre réabonnement depuis des jours mais la connexion ne passe pas. Vous ignorez nos réclamations.
612,Qui arrive à faire son réabonnement avec max it ou orange monnaie? depuis certain moment je n'arrive plus.
613,"Bonjour Orange,
J’ai payé pour l’installation de ma box fibre le 21 juillet.
À ce jour, je n’ai reçu aucun appel ni aucune intervention.
Pouvez-vous m’expliquer ce délai ?"
614,"Ça fait une semaine que ma vibre ne passe pas , le comble tu appelles le service client sans réponse et sans prise en charge"
615,Tchai fibre de l’homme passe pas on vous écrit vous faites semblant de ne pas voir et vous laissez l’homme dans main de chatboot malgré la demande de mise en relation avec un conseiller.
616,"Et pour les paiements en ligne comme metapay, ça passe ?"
617,De quoi s'agit il l'homme est en mode gratuit
618,"Bonheur Thierry Siagbé
Bonjour, écrivez-nous directement en message privé et notre équipe vous assistera."
619,C'est fouahhh
620,A quand orange bank au Burkina ?
621,Les mardi quand je souscris sur max it je ne gagne pas de bonus
622,Y’a pas match
623,À peu près comme didi b peut être que c'est sa formation
624,Il est trop monstrueux Fuego
625,"Tchieuuuu
Miedjia
tu es fort dès
en tous cas kiffé himra au quartier hienn nous on kiff le FUEGO"
626,"Vous la vrai vrai
Miedjia
est fort hein c’est pas croyable il a une facilité à chanter non fhum"
627,Un pure délice
628,Merci d'avoir respecté nos oreilles
629,Orange j'ai un souci je vs ai écrit... J'ai pas encore été pris en charge svp?
630,"On pul up les cuis qui coulent, putain arrêtez de succer... 92i"
631,"Je boyan le wé c'est trop tchô, le dagbassi est zoo
Orange Money"
632,La connexion est chère ces toux
633,"FUEGO (
Miedjia
) est l’artiste ivoirien le plus complet!"
634,Miedja Miedja Fhumm toujours fidèle à sa vibe. Tu es fort ton temps viendra
635,Force à toi mon vieux
636,Trop fort cet artiste
637,Son la es méchant hein
638,T'es fort vieux
639,Il chante bien hein
640,"Orange
mais c’est quoi avec vous? vous répondez pas aux préoccupations par écrit votre service client téléphonique aussi on dirait c’est fantôme toute la journée personne pour répondre, toujours occupé."
641,Wesh t'es
642,Fuego est trop fort
643,Miedjia tu n’es pas l’homme hein
644,Trop
645,Trop fort
646,Fort non
647,Instrumental de la chanson <<Aucune attache>> de keblack
648,Orange vs êtes raciste inn ça fait 2abs que je ne peux pas épargné sur Tik tak ni prendre de prêt je me promène d'agence en agence
649,"Ah super, ça, très belle initiative pour la musique ivoirienne"
650,Le nom de l’artiste svp ??
651,Le son est trop lourd
652,Toujours OM
653,On dirait qu'il est son propre arrangeur hein
654,Ya Dieu dedans forcément
655,Trop de talent
656,Tropp bon la Meidj
657,Bien-sûr que oui
658,Quand je reçois 444 Alerte Arnaque : Ne suivez aucune instruction telephonique relative a votre compte Orange Money meme si on vous promet un bonus ou un cadeau d'Orange CI je sourire à même temps
659,Oui oo
660,Le meilleur message qu'on puisse recevoir
661,Bonjour orange svp pourquoi l’appli max it ne passe pas ?
662,Ça ne passe pas sur iPhone
663,Bsr
664,"Orange Money
, OM pay c'est quoi au juste ?"
665,Le service Max it fonctionne pas aujourd'hui là hein
666,"C'est grâce à
Wave Côte d'Ivoire"
667,bsr info
668,J'aime bien l'interface
669,Le cœur du zouglou
670,MEDIA4.GIPHY.COM
671,"Cool
Je serai à Yamoussoukro précisément à Yakro sur Seine"
672,Le grand lova
673,Yabongo toujours
674,media4.giphy.com
675,"Pour y être il faudrait que les collaborateurs d'OCI reçoivent leurs commissions
on s'amuse lorsqu'on un peu ... Cherchez a régler le soucis des commissions de vente de kits et les ouvertures de compte OM.
Cordialement"
676,On vend des kits et on ne reçoit pas nos commissions
677,Eeeh mon Dagou ooo
678,Mon idole à vie
679,"Pierre Foissey
voilà ça hein mon bon fils"
680,"Force à toi
vieux je suis fan"
681,Soumangourou est encore labas ehhh vieux la laisse pas hein mes respects
682,C'est top
683,Esprit de sofa !!!
684,Éééh ouais mon rêve sais de voir YABONGO Long vie à toi vieux
685,"Nous n'avons pas de réseau chez nous, on a besoin de réseau orange"
686,La force tranquille
687,"Zougloutiser dans mon compte OM
Orange Money
le 25 juillet c'est mon anniversaire."
688,"Mon frère à déjà pris son ticket
LOVA"
689,C’est chooor
690,Ayoka le père
691,C'est gratuit ?
692,"Orange
Orange Money
; je reviens encore vous relancer par rapport à mon virement Iban.
Retournez moi mon argent, bientôt un mois que je suis derrière vous ."
693,Vraiment moi j'adore
694,"C'est super, mais je reçois toujours les virements 24h après souvent même 48h après
Faites que les virements soient instantanés"
695,"Je ne recommande pas du tout ce service.
J'ai effectué un virement depuis le 29 juin depuis mon compte Iban et le virement est toujours en cours de traitement jusqu'aujourd'hui sans que le compte de la personne ne soit crédité. Pourtant vous avez fait le prélèvement et même vos frais.
Une transaction qui était urgente est devenue un problème sur ma tête. Depuis je ne fais que courir derriere vous, appel sur appel, des réclamations qui n'aboutissent pas. Aller à l'agence zéro.
Aucune solution, ce matin on me dit que la réclamation est toujours en cours de traitement et qu'ils n'ont pas eu de retour donc de patienter. Je dois patienter pendant combien de temps? Pendant combien de temps?
Depuis le 29 juin;
Orange
,
Orange Money
je veux mon argent; je suis fatiguée
."
696,IBA et moi c'est pour la vie
697,"Orange Money
c'est quoi la crédibilité de ce service
Juste un essai j'ai fait depuis une semaine toujours rien ....
C'est une anarque ou quoi je dois payer ma scolarité de mon enfant j'ai besoin de réponse .en ligne on me dit de me rendre dans une agence j'y suis on me dit la structure doit venir et tout poufff décevant .
Faites des tests avant de proposer des services"
698,"Orange Money
j'ai ete blackliste suite a une demande du code OM pour transférer mon argent depuis mon compte IBAN a mon compte Orange money d’apres vous pour code eronne. Après plus de 7 requêtes a l’agence cosmos a l’agence de cap sud a des appels au services client rien n'a été. Ou je peux me retourner ? Cela fait pres d’un mois que ca dur"
699,Coool
700,bsr
701,"Bonjour
Orange Money
J'aimerais savoir quel est:
-le montant maximum en envoi et réception par jour, semaine,mois avec son IBAN.
-Le montant maximal en salaire
-Le délai de réception des virements"
702,Svp comment réinitialiser mon code secret sans me déplacer à une agence orange
703,Encore trop cher.
704,Pris de loyer n'est pas cher yfr ...
705,Ceci fait partie des 25000F???
706,Donne moi ton numéro OM bro
707,"Je viens d’installer pour moi
Je veux essayer quelque chose à travers vos différents dépôts"
708,Faites pour moi d'abord
709,Faites pour moi je vais vérifier voir si sa fonctionne toujours
710,Envoyer ton numéro
711,Je peux avoir de plus amples informations concernant OM Pay s'il vous plaît ?
712,Le code pour réinitialiser code OM j'ai oublié mon compte
713,Ok yafor
714,Toi le grand OMP quoi tu nous demandes de sciencé
715,Ton numéro
716,Éjaculation précoce dure maintenant que internet c'est comment ?
717,"C’est fait
. Trop top !"
718,"Faite un peu dépôt à
Orange Money
svp
Le boss n’est pas méchant faut juste savoir le gérer"
719,et a san Pedro
720,On vous attend à Korhogo
721,"Je sais que je vous doit hein mais diminué vos messages c'est chaud a l'heure la 2k peut pas vous faire tomber
Orange Money
meilleur réseau"
722,On dit votre internet fini vite vous dites quoi?
723,"Orange Money
Nassê en Abbey
Bia en Abidji
Anitché en dioula
Gracias en espagnol
Thanks en Anglais
Matondi en Lingala
Ce moment m'a vraiment aidé votre merci peut pas finir
On est parti pour partir jusqu'à la gare
Merci au boss Landry pour l'accueil
Dimanche on dit y'a team paiya je suis au rebond"
724,Vous les meilleurs que je connais
725,"Orange Money
normalement hein si on veut bien voir hein je dois avoir un ticket. Le boss fariman dit quoi"
726,"En tout cas avec Orange sur l'échelle nationale Ivoirien , c'est sans stress..."
727,"OM, c'est plus qu'un service, c'est une famille.
Quand on ne veut pas payer le prix, on met la famille devant"
728,"En tout cas on a aimé vos commentaires
Ceux qui ont tué même, checker vos inbox, on vous a écrit la bas.
Didi Benzemi
Baba Keke
SaMajesté Cyruslebéni
Rdv Dimanche
C’est gâté"
729,"OM,c'est doux amer."
730,Coffre fort
731,Compte Tik tak est mieux hein en bon ya pas débat
