Unnamed: 0,comments,Service
859,Orange merci j'ai pas puce orange mais a partir de aujourd'hui j'achète puce orange,Orange Money
860,002250757972089,Orange Money
861,Excellent choix,Orange Money
862,Je vous les recommande,Orange Money
863,Ou j'ai fini de payer pour moi la c'est maintenant vous faites,Orange Money
864,Mais quand 9n pays nos impôts avec Orange Money vous nous prélèvez et le paiement ne passe pas. Vous ne nous ramener pas l'argent aussi et ça reste juste des promesses,Orange Money
865,"Vous m'avez coupé coupé 150 fr pour facture de 1200fr walaye ça brûlé mon cœur mais à cause du geste faite au papa hier lors de la fête des pères, je vous pardonne.",Orange Money
866,Je peut me lancé tout de suite?,Orange Money
867,C'est sécurisé?,Orange Money
868,"Nonis Gnepa
Ornella Ouonde
Magdala Akominù Souliatou
Fatima Coulibaly
Daa Niee
Guy Arnaud Montson
Samira Diabaté
Grâce Naomi Fieni
Abdoul Diéné
Il y’a Mouton gratuit hein
Vous dormez ?",Orange Money
869,Un vrai Dohi,Orange Money
870,Orange c'est dohi,Orange Money
871,C'est de la discrimination des personnes qui ont déjà l'argent de mouton on gagne des moutons dieu vous voir,Orange Money
872,Félicitations !!!,Orange Money
873,Bravo à orange,Orange Money
874,Y’a pas dohi dedans ohh,Orange Money
875,Félicitations,Orange Money
876,Félicitations à eux et merci a vous,Orange Money
877,"Aujourd'hui es mon anniversaire
Dohi tala",Orange Money
878,"Au moins les moutons on eu de la chance,de passer à la télé avant le drame.",Orange Money
879,"Orange, j'ai rechargé mon compte yango depuis hier a 19h17 mais mon compte n'a pas été crédité je fais réclamation et c'est sans suite",Orange Money
880,Je sais les mêmes travail de orange ki gagne,Orange Money
881,félicitation,Orange Money
882,Avec Orange Dohi Tala !!,Orange Money
883,Sais dohi,Orange Money
884,La pub qui contraste avec la réalité,Orange Money
885,Sara là même c'est quoi,Orange Money
886,"Orange Money
C'est Jonathan dans les ""apprentis aventuriers "" sur M6. Il avait pour "" co-apprenti "" Joyce.
Donc, le mec est ivoirien ?",Orange Money
887,C'est pour acheter le serpent,Orange Money
888,Jason Derulo de Koumassi.,Orange Money
889,"Je suis extrêmement déçue du service Orange Money. J’ai effectué par erreur un transfert d’argent et depuis, impossible d’annuler l’opération. Aucun numéro clair pour joindre le service client, aucune solution concrète, juste un historique qui ne sert à rien.
Comment est-il acceptable qu’un service aussi sensible que la gestion d’argent ne prévoie aucun recours simple pour les erreurs humaines ?
J’attends une réponse rapide et une prise en charge sérieuse de ma réclamation. Merci de me contacter en urgence.",Orange Money
890,"Objet : Plainte pour erreur de transfert Orange Money vers un numéro incorrect
Madame, Monsieur,
Je me permets de vous adresser la présente réclamation suite à une erreur survenue lors d’un transfert d’argent effectué via votre service Orange Money.
Détails de la transaction :
• Date et heure du transfert : [16/05/2025 à 17H 24]
• Montant transféré : [72.000 fcfa]
• Numéro de téléphone du destinataire erroné : [+221 7 76 77 77 08]
• Numéro de téléphone de l’émetteur : [0707817973]
Je sollicite votre intervention pour geler cette transaction et procéder au remboursement du montant transféré vers le numéro erroné. Je reste à votre disposition pour fournir toute information ou document supplémentaire nécessaire à la résolution de ce problème.
Je tiens à préciser qu'une réclamation au call center a été effectué le même jour mais jusque là est resté sans suite. Je vous exprime mon mécontentement et j'ose espérer que dans un bref délais une suite favorable me sera communiquée au risque de me voir rendre cette réclamation virale.
Dans l’attente de votre retour,
Cordialement,
MEITE ABDRAMANE
0707817973",Orange Money
891,"MERCI, PAREILLEMENT À VOUS",Orange Money
892,"Merci
Orange Money",Orange Money
893,Bâton non non,Orange Money
894,Ils se demandent comment faire pour me digue ils trafiquent des plans et encore ils dorment et pendant ils sont couchés dort moi je suis toujours entrain de trafiqué mes plans.....,Orange Money
895,J étais a l université quand j étais au collège,Orange Money
896,Encore no1 j ai laipai j ai gor,Orange Money
897,Je garde ma puce orange pour toujours,Orange Money
898,Encaisse,Orange Money
899,Une fois,Orange Money
900,"verser les machettes les ultras. C'est Orange nous on kiff
Je viens d'acheter un Lambo Urus.. farotela (bow)
On signe plus contrat sans avocat oh... Arodela ( chetté)",Orange Money
901,Demain je vais acheter une nouvelle puce Orange encore...,Orange Money
902,"<J’étais à l’université quand j’étais au collège >
<C moi je vais tomber la pluie donc pas la peine de se doucher>
Straaa straaa",Orange Money
903,Il faut que je sorte un projet pour me détrôner moi même.,Orange Money
904,Aok je vais faire un dépôt,Orange Money
905,C’est moi qui fait tombé la pluie donc c’est pas la peine de se doucher,Orange Money
906,"Debalous sa, entré dévaliser,, avec atalaku sa, tu peux pas rivaliser (fort que fort
)",Orange Money
907,"Le meilleur réseau
une fois",Orange Money
908,On avait pas vu désolé orange on est tellement ignoré qu' on s attendait pas a ce qu un gros nom nous fasse un clin d' oeil.,Orange Money
909,S ils veulent commencer la guérilla on va employer la plus forte des manières,Orange Money
910,Mon réseaux,Orange Money
911,Mon compte est bloqué.,Orange Money
912,La fête des mères approche !,Orange Money
913,"Orange Bank CI
, Orange ci , meilleur des meilleurs",Orange Money
914,J'adore les fleurs je peux maintenant m'offrir des fleurs avec Orange money en sécurité.,Orange Money
915,La dame est trop belle,Orange Money
916,"Orange Money CI, c'est Top!",Orange Money
917,"Bonjour madame
Si 'nous avons une surprise à faire
Peut on avoir un contacte ?",Orange Money
918,Les gérants des PDV exigent 100 f pour toutes opérations Orange money. C'est normal ???,Orange Money
919,Vraiment,Orange Money
920,Tu es problème Orange,Orange Money
921,Besoin d'abonnés svp les amis,Orange Money
922,Tu trouves le bon aussi on te fait payer les 100f,Orange Money
923,"Avoir une puce marchande orange money est vraiment très difficile. Depuis plus de six mois. Vos agents bloquent-ils les dossiers à leur guise ?
Que le CM
Orange Money
apporte mon message à la direction, on souffre beaucoup",Orange Money
924,Sciencer on veut supprimer les numéros complices,Orange Money
925,Mdrrrr,Orange Money
926,"Les couples ou y’a pas OM dedans enlève ton pied
…
Avec OM c’est 0f de frais",Orange Money
927,Sale comportement,Orange Money
928,"Walaye trop doux même avec +454 j'ai plus de stress plus de maladie je suis épanouie
jusqu'à j'ai honte",Orange Money
929,"S'il n'a pas OM c'est que c'est pas le bon, c'est un coulé-liquidé.
OM c'est pour les kélépé 1 et non les prinprins.",Orange Money
930,"Orange Money
je veux mon argent svp, depuis ce matin je n'ai pas accès à mon coffre fort sur max it.
Pfff",Orange Money
931,Tu es le problème mon fils,Orange Money
932,"Love comment même
Ne ns mettez pas dans blême hein",Orange Money
933,Comment ils font et les passes coulent comme ça Tchié,Orange Money
934,L'adversaire partage l'argent ici vous vous faites poète Ok,Orange Money
935,Tiktak mon problème actuellement...,Orange Money
936,"Ce Monsieur impose aux gens de payer des surplus pour effectuer des retraits. Quand tu veux un retrait de 10.000 FCFA par exemple il demande de composée 10300 FCFA
Voici son code et nom.
ERNARD SARL 117214
Ce sont des gens à retirer du circuit
Allez à Mvan à Yaoundé, tous font ça. Il faut retirer ces gens sinon vous allez perdre gros",Orange Money
937,"Orange Money
j'ai acheté une puce a l'agence je les fait identifié ils m'ont dit il avait un problème de réseau pour créé qu'après je devais faire le #144*71# pour ouvrir mon compte mais depuis rien ne passe ça fait presque 1 mois maintenant c'est dû a quoi?",Orange Money
938,"Bonjour je vous ai laissé un message inbox, j’ai besoin que vous traiter ma requête svp ! Merci",Orange Money
939,"Ste Christy
de parler ?",Orange Money
940,"Bonjour orange Côté d’ivoire ! J’ai un souci avec mon coffre fort bloqué de Max it! Je n’arrive pas à y accéder, on me mer erreur, je ne peux même plus y déposer de l’argent ! J’ai appelé le service client, on m’a dit que la demande sera traitée sous 48h depuis rien ! Svp veuillez régler mon problème, j’ai de l’argent dessus, pfff….",Orange Money
941,Arrêtez de voler les gens ...,Orange Money
942,Facile,Orange Money
943,On a compris mais quand on veut aller retirer aussi ya manque pae on doit payer frais,Orange Money
944,"Anaki Serge
il ne paye jamais les frais tu es problème même",Orange Money
945,Votre application ou on vo?le l'argent des gens là tchrrrr,Orange Money
946,"Vous même on souscrit passe internet ça finit vite et puis vous pensez que vous êtes les bons ???
vous faites les faux wé meme",Orange Money
947,"Toi CM là, t’aime amusement façon,
Nos passes million qui finissent vite là, tu n’en parles pas hein",Orange Money
948,Je te dis,Orange Money
949,"bonjour
Orange
, impossible d'avoir accès à mon coffre depuis l'application Max It, comment puis-je remédier à cela?",Orange Money
950,Moi même je vous attends au tournant OM,Orange Money
951,"C’est un gaou
.",Orange Money
952,"Bonjour j’ai une question ?
Pour effectuer une transaction orange de la Côte d’Ivoire à la Côte d’Ivoire
Il faut obligatoirement la application orange money ou non merci et bonne journée",Orange Money
953,Tu paies ton crédit pour avoir un autre prêt c'est difficile pfffffffff,Orange Money
954,Lollllllll,Orange Money
955,"Orange Money a des soucis sur son coffre fort depuis 72h l'argent des clients est bloqué, impossible de retirer.",Orange Money
956,Le coffre fort a quel soucis on peut pas accéder,Orange Money
957,Ehhhh orange pardonnez mon argent j’ai mis dans coffre fort la date est arrivée pour récupérer mon argent c’est dans procedure je trouve pas aider moi ohhhhh,Orange Money
958,Pendant qu'on rigole moi j'ai envoyé mon CV par erreur à la WWE ; ils m'ont programmé lundi contre JOHN CENA,Orange Money
959,Dieux merci canal boix va nous donner envie de conexte tout le temps 500frs par semaine 24#24 merci beaucoup je mafou de 1go oubien 2go par semaine,Orange Money
960,"Chercher à créer, vous aimez trop copié les autres.
Merci et prenez soin de vous.",Orange Money
961,Timbre de 100F qu'on paye au-delà d'un transfert de 5000F a été supprimé ?,Orange Money
962,Orange Money veux nous voler maintenant quoi,Orange Money
963,Ont reçoit 5450 vous avez oublié les frais de timbre qui s’appliquent pour les dépôt supérieur à 5000,Orange Money
964,Ce qui veut dire que orange a annulé les frais de transfert,Orange Money
965,C'est dohi mtn est le meilleur,Orange Money
966,"10H
BK=
56
SBK=
20
TURBO2=56-20-32 TURBO3=32-40 TURBO4=40-76 TOWSU2=76-21 PERME=56-20-32-40-76-21 BONNE CHANCE",Orange Money
967,Bonsoir moi je veux savoir pourquoi quand on va faire un dépôt ou retrait on paye 100f aux marchands ??,Orange Money
968,"S'il vous plaît expliquez les frais de timbre 100f aux clients aussi car ça nous fatigue nous les pdv car d'autres même nous traitent de voleur car pour 5000f nous savons que les frais de retrait c'est 50f c'est à dire 1% mais pour un client qui veut forcément payer les frais pour son récepteur il doit payer 5150f sinon 5050f envoyé le client reçois 4950f
S'il vous plaît aidez-nous",Orange Money
969,5050,Orange Money
970,C'est dohi vrai dohi,Orange Money
971,Hamed tu es de venir vidéo manne,Orange Money
972,Vous recevrez la même somme c'est à dire 5550 f parce que les transferts en OM sont gratuits,Orange Money
973,"Orange je suis pas content de vous celà fait pratiquement 3 semaines j'ai fait une demande de réclamation que vous m'avez prélevé deux fois sur mon compte et jusque là pas de remboursement.
Svp je veux mon l'argent.",Orange Money
974,Orange Money revoyez votre question…,Orange Money
975,"Du compte personnel à un autre compte les frais de timbres 100f ne s’applique pas
Les frais de timbres 100f s’applique lorsque vous partez dans un point de vente et est en pratique lorsque l’opération est au delà de 5000f",Orange Money
976,C’est faux,Orange Money
977,Aaaah c'est dohi,Orange Money
978,4950,Orange Money
979,Votre maxit qui ne marche jamais.,Orange Money
980,"C'est 5450, timbre 100f et après tu reçois les bonus mn,sms et pass internet",Orange Money
981,"Vous dites depôt et différent de transfert d’argent.
Les frais de timbre sont appliqués pour les dépôts supérieurs à 5000frs.
Mais au niveau du transfert d’argent il n’y a pas frais de timbres.",Orange Money
982,Samasoko aah vieux tu vaurien trop comment même 5040,Orange Money
983,-100=5450,Orange Money
984,5450,Orange Money
985,https://chat.whatsapp.com/IJFZhiZRtc4888GS7aVGE4,Orange Money
986,"Je reçois 5550 parce que les transferts de compte
Orange Money
à un autre compte Orange Money est totalement gratuit merci à #OrangeMoneyCI",Orange Money
987,Amen je recois au nom De Jesus Christ,Orange Money
988,salut petit,Orange Money
989,Je reçois 5550,Orange Money
990,100 de timbre et 50 de frais les 1/100,Orange Money
991,5450 bien sur si c'est dans une agence mais de compte à compte tu reçois forcément la somme reçu qui est 5550,Orange Money
992,Et c'est quoi cette coupure de 54frs à tous les transferts même si c'est 100frs vous coupez toujours,Orange Money
993,"Moi je suis chez moïse hein
Je me demande dans quel coup je tombe sur cette vidéo",Orange Money
994,Si il a 5k en jeu ils vont tt dire,Orange Money
995,"Vole
Vole
Vole
Orange nous vole",Orange Money
996,"Façon je suis galère là je vous cherche des
Orange Money",Orange Money
997,5455,Orange Money
998,J'ai rien reçu,Orange Money
999,Je veu jouer en ligne,Orange Money
1000,5400 parce qu'il y'a frais de timbre 100f puis 50 f pour les frais de 5000f,Orange Money
1001,"Je voudrais savoir quand vous attribuez une puce orange à une autre personne alors qu’il y’a de l’argent sur le compte orange de l’ancien propriétaire, on réclame l’argent à qui ? Au nouveau propriétaire ou à Orange money. Mon fils fait face à une injustice de la part de Orange Côte d’Ivoire et je suis vraiment révoltée.",Orange Money
1002,Je dis la seconde question doit etre posé,Orange Money
1003,Normalement 5450 car les timbre de 100 FCFA s'applique,Orange Money
1004,Trouver une solution concrète pour diminuer l'argent de connexion L'AES prépare une réseau,Orange Money
1005,Si c'est contre personnel à l'autre contre 5550 et si c'est dans un point orange money c'est 5450,Orange Money
1006,Donc le responsable d' orange même connais pas sinon c'est 5450 f cas il as oublié 100f du timbre de l'état,Orange Money
1007,Je reçois 5495,Orange Money
1008,Vous là quand vous posé les questions concernant l'argent là svp faites un tour dans nos services haaaa,Orange Money
1009,Les 100 f du timbre pour les les transactions de plus de 5000?,Orange Money
1010,"Je parle pour mon village
Il y a un gar chaque fois que tu fais des transactions chez lui il te coupe 100f qui n'a rien à voir avec ni les frais ni le timbre.
Hin hin
J'oubliais on me charge de vous dire que pourquoi on ne peut plus avoir les 2,5G a 500.",Orange Money
1011,Y'a problème par la voie d'orange on mange dans notre argent soit disent timbre tu 10 fois dépôt par jour on te coupe 10 fois pour quoi ?,Orange Money
1012,Je reçois 5450,Orange Money
1013,"Question pas bien posée !
Tu fais un dépôt 5550f d'un point de vente orange, je reçois 5450f ! Mais de ton compte orange money, tu me transfères 5550f, je reçois le même montant !
Soyez précis
Orange
, car vous pouvez créer des histoires entre les caissièr(e)s et leurs clients avec cette pub là !",Orange Money
1014,J'aime votre réseau mais je ne suis pas du tout contente de vous. Depuis quelques mois j'ai identifié ma puce comme vous me l'aviez demandé mais jusqu'à présent quand je passe mes appels il faut obligatoirement que j'entende: cher client mettez à jour.... J'ai appelé plusieurs fois je me suis même déplacer pour aller au siège mais 0 résultats si ça continue je risque bien de lasser prise votre réseau,Orange Money
1015,Tu reçois 5550,Orange Money
1016,Tu reçois 5500,Orange Money
1017,Venez à yop maintenant,Orange Money
1018,"C'est faut
Orange Money
dès que l'argent dépasse 5000 il y a timbre 100g ou bien vous avez arrêté ça",Orange Money
1019,"Copier bien, cette plateforme qui ne marche jamais surtout quand tu en as besoin",Orange Money
1020,"Ce n’est pas normal . Normalement c’est 5450 vu qu’il y a 100fr de timbre que orange va couper .
Ou bien 100fr de timbre c’est entre nous ici ?
On sait tous qu’au delà de plus de 5000fr, il y a 100fr de timbre non",Orange Money
1021,"En tout cas en matière de transaction
Moov Africa CI
est meilleur en Côte d'Ivoire
.",Orange Money
1022,5495 ..si on enlève timbres 100 f tu reçois 5395f,Orange Money
1023,Svp venez à Sinfra aussi je bien voir dans affaires là,Orange Money
1024,Orange Money bjr avant je prenais les 10mil f sur orange bank pour me défendre maintenant je peux plus prendre quesqui se passe,Orange Money
1025,Moi j'ai fait un dépôt de 10 milles sur mon compte et j'ai reçu 9900 donc je ne comprends pas.,Orange Money
1026,"Orange Money
dîtes plutôt un transfert sinon si c’est dépôt là les timbres de 100f s’applique du coup 5550 on reçoit 5450 et non 5550 merci",Orange Money
1027,La question est très Mal posé ya une différence entre un dépôt et un transfert un c'est dépôt dans un point de vente (pdv) alors un transfert c'est a déjà de l'argent sur son compte OM puis envoi directement a une tierce personne. Vu la question c'est un dépôt or tout dépôt supérieur a 5000 automatiquement les frais de timbre s'applique,Orange Money
1028,Orange Money tu a dis dépôt et non transfert DC ces faux,Orange Money
1029,En tt cas les 5000 n’ont qu’à arriver c’est le plus important,Orange Money
1030,Oui au delà de 6000 on retire l'argent de timbre,Orange Money
1031,"Ont dire merci beaucoup à wawe sinon c'était fini pour nous, ils allaient bien nous volé. Ko orange Money est le meilleur réseau tchrrrr même",Orange Money
1032,"je suis pas d'accord pour la réponse, vous avez Dépôt et non transfert d argent et timbre 100f c'est plus valable",Orange Money
1033,"5395,5",Orange Money
1034,Je reçois 4950,Orange Money
1035,5400,Orange Money
1036,Commentaire supprimer,Orange Money
1037,"Si c'est un dépôt de 5.550f le destinataire recevra 5.450f, car il sera facturé 100f taxe de timbre. Si c'est un transfert de 5.550f, le destinataire recevra bel et bien 5.550f, car il n'y a pas de taxe de timbre en ce qui concerne les transferts.",Orange Money
1038,C’est mm 5550 tu vas recevoir,Orange Money
1039,Tchai essayer a adzope aussi,Orange Money
1040,5495,Orange Money
1041,Mais l’histoire de tu dépose ton argent et tu paye les frais là c’est comment maintenant c’est toujours même choses ou bien vous avez changé ?,Orange Money
1042,ORANGE.CI,Orange Money
1043,"Orange Money
y, svp les résultats de la chasse au trésor sont pour quand ?",Orange Money
1044,Koundé,Orange Money
1045,Musique,Orange Money
1046,Les résultats des jeux restent inconnus.,Orange Money
1047,"100f qu'ils prennent avec nous à chaque fois lorsqu'on fait dépôt, retrait et transfert là ne gérez pas çà hein ko : Chasse au trésor,mes oreilles wai
.",Orange Money
1048,Le score,Orange Money
1049,J’ai compris,Orange Money
1050,Le mot caché est Zikplay,Orange Money
1051,"Orange Money
résultat n’est jamais sorti hein",Orange Money
1052,"Admin Orang Money, résultats de jeu là c'est comment??? Ou bien d'aller boire l'eau",Orange Money
1053,"Orange Money
pourquoi je n'arrive pas à y participer ?",Orange Money
1054,Maxit aussi depuis la dernière mise a jour ya bugg,Orange Money
1055,26 au 27 mars? Orange Money date erronée,Orange Money
1056,Télécharger la super app Orange Max it Côte d'Ivoire | Orange Côte d’Ivoire,Orange Money
1057,Expliquez... Ou bien,Orange Money
1058,Premier commentaire,Orange Money
1059,Pourquoi vous ne publiez pas la réponse de la chasse !?,Orange Money
1060,"Merci beaucoup
Orange Money
mon cadeau d'anniversaire
longue vie à Orange ci",Orange Money
1061,"Hello la famille !
Pour participer à la chasse au trésor, ouvrez simplement Max it : https://dub.link/Maxit-CAT
Dès la page d’accueil, vous verrez un visuel spécial pour la chasse au trésor : il suffit de cliquer dessus et de suivre les instructions !
Bonne chance à tous",Orange Money
1062,"En gang
1x",Orange Money
1063,En tout cas la maman a du caractère,Orange Money
1064,J'ai déjà mangé chez elle ... bonne nourriture en tout cas je dépose tata alice,Orange Money
1065,"C'est très cher mais ça vaut le coût, et c'est vraiment bon",Orange Money
1066,"Ma soeur Bibi!! Bonne continuation,,!!!",Orange Money
1067,Vall Tokpa,Orange Money
1068,Poisson 27k Fhum,Orange Money
1069,"Michel Kouamé
c'est cala tu as vu?",Orange Money
1070,"Himra
Meilleur rappeur du monde
Longue vie à nous
Himra",Orange Money
1071,"Cette tantie la es compliqué façon ,toujours nerveuse",Orange Money
1072,Tous au stade le 03 mai pour le concert de Didi b,Orange Money
1073,"Ma tata Brigiette
en chez Alice cest ma maison",Orange Money
1074,Numéro WhatsApp,Orange Money
1075,Orange money est le meilleur réseau,Orange Money
1076,"Ahaah arretez de dire ce que vous pensez etre vrai . Es - ce que vous connaissez la douleur d' une entreprise de tout ce qui est preparation ? Quand vous partez dans les chawamard même si on vous reçoit mal , et mėme aussi chère , jamais de plaintes . Il y a les depense de chaque jour , les employés , le locale , ..tout ça à gerer ; et vous trouvez qu' elle est chère et compliquée . Et si tu etais à sa place ???",Orange Money
1077,"La 1ère fois que j'y ai mis le pied hunnnnmmm
j'ai compris ce qu'on appelle le PRIVILÈGE
j'adore ce coin mais il va falloir revoir l'aspect de l'espace car c'est un coin de la high class.",Orange Money
1078,"J'y suis déjà allée mais pas dans mon argent hein, c'est mal cher.
J'ai pas l'argent de ça",Orange Money
1079,1,Orange Money
1080,"1
tjrs",Orange Money
1081,.,Orange Money
1082,Toujours nerveuse aussi la tantinnnne,Orange Money
1083,Je connais pour la commune de marcory quartier charbon,Orange Money
1084,Le plat est doux et bien fait franchement tu ne regrette pas,Orange Money
1085,Moi,Orange Money
1086,Attieke 99 millions,Orange Money
1087,Appellé renforts c’est même chose,Orange Money
1088,"Alamanko Koné
votre poisson pas doux la voilà ça",Orange Money
1089,Poisson 1 million,Orange Money
1090,"Nick Charmand Mel
c’est une affaire de famille",Orange Money
1091,Less commentaires me font trop rire.. elle est nerveuse mais vous êtes toujours la bas.. sûrement vous aimez son côté nerveux,Orange Money
1092,Une dame bien gentille qui reçoit agréablement,Orange Money
1093,La référence,Orange Money
1094,Regarde le tee shirt RHDP qui a tout fait pour sortir dans la vidéo éeeeh..!,Orange Money
1095,"Vous voyez dans les commentaires comment les gens sont en train de vous descendre a cause de manque de respect qu'ils ont eu a recevoir chez vous non ? Et pas qu'une seule personne en plus, très bien, continuez comme ça, ça va vous surprendre quand ça va vous laisser",Orange Money
1096,Une go tres gonflée . Toujours sur la defensive kpaaaa,Orange Money
1097,Bonsoir soeurette c est bebo j ai fréquenté à anoumabo avec ton frère Roger voici mon numéro 0721496029 appel moi si te plaît,Orange Money
1098,"Votre nourriture cher avec le son de chette
on a bougé",Orange Money
1099,"Evan's Emian
donc tu peux payer à distance depuis Bouaké",Orange Money
1100,Affaire de nerveuse que je vois en commentaire la moi c'est mon totem hein donc tchèè c'est mieux je vais pas arriver là-bas,Orange Money
1101,La tata est très nerveuse inh tchiaaa ms c'est très bon,Orange Money
1102,Les meilleurs plats de baby,Orange Money
1103,"Nous qui sommes à marcory nous traversons souhaiiiiiiii ,et partons mangé au social affaire de poisson qui fait caution de maison à Beago nous ne sommes pas dedans la vie ici est déjà dure comme ça.. après il faut reconnaître que nous ne sommes pas la véritable cible",Orange Money
1104,Je ne savais pas qu'elle souriait chiaaaaaaa,Orange Money
1105,"Chez tantie Alice
c’est toujours une bonne idée et toujours avec beaucoup d’appétit",Orange Money
1106,"Ah ça, Bonne commerciale de ORANGE Money.
Félicitations.",Orange Money
1107,"La femme celle là slmn elle est trop sur la défensive.....
Un jour elle. A voulu lever le sur moi façon je l'ai regardé de haut en bas la
elle a su que c'est l'argent lion meme je suis venu manger avec sa meme
elle c'est calmé souaii",Orange Money
1108,Poisson 6 millards,Orange Money
1109,Son piment est top,Orange Money
1110,Mw depuis 2010 je suis sur mon même numéro orange,Orange Money
1111,Maître Gim's est allé manger là-bas de passage à Abidjan,Orange Money
1112,Wanin youzancompliqué donc IL faut revoir sa sinn onva se deshabiller anzou,Orange Money
1113,Mon quartier,Orange Money
1114,C’est pas mon coeur qui est là là. Ma rivale d’amouuur,Orange Money
1115,Gloire à Dieu on va pas au champs avec Fago,Orange Money
1116,Même si mon ex appelle imam ou évêque pour me demander pardon l’argent ça là je donne pas,Orange Money
1117,"Si Dieu veut me soutra en passant par mon ex, qui suis-je pour désobéi à la volonté de Dieu",Orange Money
1118,Ya pas retour,Orange Money
1119,On va pas au champ avec fargot,Orange Money
1120,"Ex ne se trompe jamais, c’est toujours prémédité
Le gars qui veut envoyer 800frs là, son goumin est faramineux hein",Orange Money
1121,Ngotta tu es bête comment même mdrrrr le Pasteur t'a fait quoi,Orange Money
1122,"Wassa Konate
je t’écoute",Orange Money
1123,"En toute sincérité,je retourne son argent un point c'est tout. Merci",Orange Money
1124,J'ai fait effort pour l'envoyer 800,Orange Money
1125,Gloire à Dieu,Orange Money
1126,Elle m'a débouché car c'était un contrat à durée indéterminée,Orange Money
1127,On ne va pas au champ avec fagots,Orange Money
1128,Jamais jamais jamais,Orange Money
1129,Ko orange bonjour votre correspondant ne peut être joint,Orange Money
1130,Je peux faire l’effort,Orange Money
1131,Dans 100 mil vieux tu vas l'envoyer 800 f,Orange Money
1132,Orange bonjour votre correspondant ne peut être joindre,Orange Money
1133,Est ce que on va s'en sortir,Orange Money
1134,"Réconciliation, si elle veut hein...
Elle pensera peut-être que c'est définitive, mais pour moi, c'est juste pour une semaine.
Je mougou jusqu'à ça me suffit, je l'engoise pour quelques centaines de milles supplémentaires, puis, je romps avec elle à nouveau, et je prends fuite...
@à la une
Orange Money
Orange
Orange Money
Junior officiel
Junior Tinti",Orange Money
1135,Ok je me trompes aussi et j'invite mes amis pour venir boire,Orange Money
1136,Crédit sur pketou on laisse pas,Orange Money
1137,Je lui renvoie,Orange Money
1138,https://youtu.be/Jb0l1YT4QDE?si=uFeeKZa1KsvK5DFJ,Orange Money
1139,C'est la vérité,Orange Money
1140,Je me trompes aussi et puis je bouffe ça olalala,Orange Money
1141,Je ramène tranquillement,Orange Money
1142,Ko on ne va pas au champ avec fagots,Orange Money
1143,"Maira
Dosso je t'ai reconnu",Orange Money
1144,Ont va pas au chant à fago,Orange Money
1145,Le crédit de ça là on finit pas de payer,Orange Money
1146,Si elle a ses nex comment ?,Orange Money
1147,"Elle va payer le vin
Ange Marlon Boly",Orange Money
1148,C'est tout,Orange Money
1149,"Je peux faire l’effort de lui envoyer 800
Dans 100000 tchiaaaa",Orange Money
1150,"C'est mon argent
qu'elle a gardé, donc je reprends et je fais perdre ma puce pas exprès pour ne pas qu'elle m'appelle et après j'en profite bien avec des poulets et des bières
Orange Money",Orange Money
1151,800f comment même,Orange Money
1152,Un tour sur mon profil,Orange Money
1153,C'est môgô qui dit qu'il peut faire l'effort de lui envoyer 800f qui est le plus mauvais dans tout ça la tchiaaaa,Orange Money
1154,Je lui ramène son argent avec les frais en plus.,Orange Money
1155,Je vais faire l'effort de lui envoyer 800frs dans 100000frs c'est la partie là même qui va me Dja. Tchiiiiaaaa,Orange Money
1156,Pays là est trop doux!,Orange Money
1157,Ahhhh mon frère Jean Claude,Orange Money
1158,On va pas au champs avec fargo,Orange Money
1159,"J’ai reçu un message de la part d’Orange m’informant qu’il n’était désormais plus nécessaire d’utiliser une carte Visa pour effectuer des rechargements iTunes, car cela était désormais possible via Orange Money.
Mais quelle ne fut pas ma surprise, après avoir finalisé mon achat 17.100 F et avoir été débité, je constate qu’Orange m’indique qu’il n’était en réalité pas possible d’utiliser ce rechargement iTunes en Côte d’Ivoire. Et pourtant, ce message m’a bien été envoyé sur ma puce Orange ivoirienne, alors que je réside en Côte d’Ivoire.
Est-ce ainsi qu’Orange traite ses clients ? À vous de juger ..",Orange Money
1160,Svp cela fait plus de 2 ans que je cherche à devenir un agent orange money pouvez vous m'aider,Orange Money
1161,Je peux faire l'effort de lui envoyer 800 ah tchai,Orange Money
1162,C'est mêmechose,Orange Money
1163,Lui même dir orange bonjour,Orange Money
1164,Je vais faire l'effort de lui envoyer 800f comment même,Orange Money
1165,Le gar dit même si sont pasteur à déposer un hors jeux de millions lui il vas volé ça lol,Orange Money
1166,Même moro,Orange Money
1167,modiaïsme de oufffff,Orange Money
1168,Tchiéeee,Orange Money
1169,Votre correspondant ne peut être joint,Orange Money
1170,Tous les ivoiriens sont des drôles,Orange Money
1171,Ces la reaction de fin qui me retient ici,Orange Money
1172,Ooon ramèneeee pas,Orange Money
1173,Ahiiii JC comment 800frs mdrrrr,Orange Money
1174,Ma fin ma kill,Orange Money
1175,"Orange bonjour, votre correspondant ne peut être joint merci de rappeler ultérieurement",Orange Money
1176,"Hummmm même 50fr je vais pas renvoyée , dans tout son répertoire c’est sur moi mon numéro elle va ce trompé quoi ? En tout cas prochainement elle va bien voir",Orange Money
1177,Forcément je retire rapidement.,Orange Money
1178,heee mon oncle claude,Orange Money
1179,800 dans 100000 tiaaaaa,Orange Money
1180,J'ai besoin de mes puces orange money j'ai fait la demande ça va faire un an maintenant ahiyaaa c'est trop exagéré de votre part.,Orange Money
