,comments
355,"0 FRAIS a commencé à changer hein et on dira ils veulent rattraper les années perdues hein
, quand tu es dans ce pays forcé tu vas changer et devenir autre chose
affaire de djê dèh triste et dommage
."
356,Je viens de recevoir ma carte Visa virtuelle. Merci Wave chouu
357,Faite vous allez créez votre Banque on va tous y être affilié.
358,"J'ai reçu ma carte Visa hier
Wave Côte d'Ivoire"
359,Merci pour la carte wave....
360,Merci Wave pour ma carte virtuel
361,"Wave Côte d'Ivoire
Merci Wave pour GT Bank !
Les voisins vont lire l’heure
Comme le Real a lu l’heure dans la main du Barça l’année dernière"
362,"Merci à
Wave Côte d'Ivoire
pour l'activation de ma carte visa virtuelle."
363,"J’ai reçu ma carte hier merci
Wave Côte d'Ivoire
je vous aime"
364,"Merci beaucoup a wave ci
Je viens d'activer la mienne aujourd'hui"
365,On a besoin de vous à minignan difficile de trouver un coin wave.
366,"Pourquoi moi j'ai pas la visa wave
Explique moi!!"
367,Ecobank n'est pas encore raccordée.
368,Wave Côte d'Ivoire ya pas meilleur que vous qui dis mieux
369,Nous attendons BOA
370,"Merci Wave en fin j’ai la carte
Wave Côte d'Ivoire"
371,Les meilleurs
372,Moi ma banque n’est pas dedans hein
373,MERCI infiniment
374,On attends toujours BOA
375,Merci pour ma carte virtuelle
376,Bonsoir wave maintenant j'ai reçu ma carte wave dans mon compte maintenant je fais comment pour récupérer ma carte dans ma main ?
377,Il reste Ecobank svp depuis là
378,"Bonjour Wave Côte d’Ivoire, c’est bien beau tout ce que vous racontez mais il serait judicieux de bien expliquer au client cette histoire de frais de transfert gratuit pour la première transaction. Je viens de faire ma première transaction et j’ai été facturé pour les frais pourtant c’est là toute première fois que j’utilise le service! Avant de m’engager j’ai échangé avec un agent au service client qui m’a demandé de faire l’opération et que si j’étais prélevé l’information serait remonté. Je finis et tout ce qu’elle trouve à me dire c’est je suis désolé pour elle j’aurais dû faire la transaction de mon compte bancaire vers Wave. Je n’ai pas aimé ce modèle d’arnaque. Rembourser mon argent."
379,A quand le partenariat avec la BANK OF AFRICA BOA
380,"Merci
Wave Côte d'Ivoire
. ce mois j'ai transféré mon salaire de la banque sur mon compte Wave en un rien de temps.
Merci merci."
381,"Merci wave , on attend sgci maintenant."
382,"Grand merci au PINGOUIN
pour ma carte Prépayée. J’attendais depuis longtemps"
383,Merci Wave nous attendons le tour de NSIA
384,Plus pertinents
385,"Votre Carte là, vous la partagez à qui vous désirez quoi?
Sachez que moi j'ai deux remarques chez Wave.
La première est que lorsque nous mettons l'argent sur Coffre Wave, nous n'avons aucun intérêt sur les dépôts.
Secondo, Lorsque nous mettons l'argent sur le Coffre, vous devez bloquer jusqu'à la date prévue. Car très souvent, voyant la possibilité de demande de débloquer le compte, nous n'arrivons pas à économiser.
Lisez mon commentaire s'il vous plaît !
Je suis un meilleur client."
386,Envoyer ma carte virtuel maintenant ?
387,J'ai besoin de la carte virtuel
388,Moi ma banque le sgci je vois pas encore
389,"Salut,
Je vous informe que l’agence BACI de Divo a refusé à deux reprises de délier mon compte bancaire a mon compte Wave, malgré mes démarches. J’aimerais comprendre la raison de ce refus et savoir quelle solution je peux envisager pour régulariser la situation.
Merci de votre compréhension."
390,"Merci
Wave Côte d'Ivoire
j’ai reçu ma carte Visa aujourd’hui"
391,"Wave Côte d'Ivoire
il me semble que vous lisez dans mon esprit j’explique : il y a de cela 1 mois que je cherchais une carte virtuelle pour mes affaires en ligne, le lendemain vous m’avez donné la carte et hier je cherchais cette solution de Wave via cette banque et aujourd'hui voilà...vraiment je ne vous quitterai jamais."
392,Merci beaucoup wave
393,"Bonsoir à tous, s'il vous plaît comment faire pour masquer son argent(le montant) à l'écran?
Merci"
394,J'ai eux ma carte visa
395,"Wave à cause de Dieu , on attends pour BOA yaki"
396,J'ai sauté de joie aujourd'hui quand j'ai vu ma carte wave trop contente merci wave chou
397,Avec wave c'est déjà bon
398,Ma carte peut être rechargée par une personne en dehors de mon pays pour moi?
399,Svp faites boa
400,"Merci pour les cartes visa, je vais tester ma nouvelle carte sur AliBaba"
401,"Merci pour la carte visa wave
, je vous donne mon coeur
enfin je l'ai eu"
402,La carte virtuelle coûte combien ?
403,Comment obtenir le RIB de la carte visa
404,Mèrci infiniment
405,Ajouter B.O.A à vos fichiers on ça va nous faciliter
406,Merci wave
407,Et ecobank
408,Wave vous êtes les meilleurs.
409,Vraiment merci beaucoup pour tout
410,Ajouter SIB OOOOh on attend ça impatiemment
411,"Wave Côte d'Ivoire
on a pour boa pour le bonheur de la population je sais que le boss n'est pas méchant"
412,"La carte visa wave, trop propre"
413,Vous êtes les meilleurs
414,Vous aussi on veut wave en Guinée
415,De quoi avez-vous besoin ici en chine
416,Wave à vie. En passant merci pour la carte Visa
417,"yeeeeeahh j'ai reçu ma carte virtuelle, mercii
Wave Côte d'Ivoire"
418,Merci Wave j'ai reçu
419,Hum quand ils vont dire aussi bonne nouvelle pour la SGCI?
420,"Très intéressant, merci de me tenir informé"
421,Activé pour moi svp!
422,"Merci pour la carte virtuelle,vivement votre partenariat avec ECOBANK"
423,"Comment activer ma carte visa virtuelle Wave, puisque je n’ai toujours pas le logo de la carte sur mon portefeuille Wave"
424,"Ma carte wave a été activée, j'ai acheté une formation ce jour via la carte. C'est concret. Bon on attend l'option transfert de carte a carte"
425,Suivre
426,Vous donner pas crédit aussi ?
427,J’attends ma carte visa inh
428,"Merci
Wave Côte d'Ivoire
."
429,Merci beaucoup wave pour ma carte visa
430,Il y a une condition pour avoir la carte Visa ?
431,Comment avoir la carte visa ?
432,J'ai déjà ma carte Visa
433,"Weh c'est trop top
Merci wave côté d'ivoire"
434,"Vraiment merci hein
Wave Côte d'Ivoire"
435,Quand j'ai reçu un message de ma banque pour dire que je pouvais relier mon compte à mon wave. Je l'ai fait plus besoin d'aller au guichet à une heure tardive. C'est de là à là. Merci wave.
436,"Wave Côte d'Ivoire merci .
Vous etes les meilleurs.
Je viens de recevoir ma carte Visa virtuelle."
437,J'ai pas encore eu pour moi ow
438,Merci beaucoup Wave pour ma carte visa
439,Svp traitez avec BOA bank
440,"Et la carte laaaaà
et nouuuus"
441,Vraiment super
442,"Enfiiiiiiiiiiiiiin,
ma banque"
443,"Je peux pas partager ma clé hein
bonne nouvelle je vais pouvoir économiser avec la nouvelle banque wave merci wave Côte d'Ivoire que Dieu fasse qu'un jour ont puisse avoir puce wave"
444,Moi j'ai posé la question de savoir si tu as un parent en Europe es ce que c'est possible qu'il t'envoie de l'argent sur la carte bancaire wave ? J'ai pas eu de réponse jusque là
445,"Wave est trop efficace ! Merci de nous faciliter la tâche, grâce à vous aujourd'hui on dit qu'on à une carte bancaire"
446,"TRES BONNE NOUVELLE.
MERCI WAVE.
Nous attendons pour la SGCI"
447,"J'ai reçu ma carte virtuelle Visa. Merci wave.
J'attends maintenant mon gros cadeau."
448,"Wave Côte d'Ivoire
merci beaucoup pour la carte"
449,On attend pour ECOBANK
450,"Merci
Wave Côte d'Ivoire
pour ma carte Visa troooo content actuellement"
451,"Merci, on ira plus au guichet
Merci à
Wave Côte d'Ivoire
et
Guaranty Trust Bank - Côte D'Ivoire
Good job"
452,Comment transférer de l'argent de NSIA vers wave ?
453,"Wave a vie mais svp
Wave Côte d'Ivoire
la carte magnétique est disponible pour quand"
454,Mais ça c'est depuis quand
455,"Wave Côte d'Ivoire
la carte prépayée n'est pas encore arrivée à mon niveau hein"
456,Wave ne peut pas avoir des guichet automatique comme les autres. Cela nous permettra de faire des retraits à n'importe quelle heure.
457,Vous êtes les bienvenus et les meilleurs
458,MERCI À WAVE POUR TOUT CE QU ILS FONT POUR LA POPULATION
459,"Wave Côte d'Ivoire
je voulais savoir si je vous êtes offensé pour que vous me donnez cadeau
ou y'a rien dedans chaque fois je n'es pas de chance dite moi a même temps je vais vous demander pardon heee on peut faire. Merci de bien vouloir me répondre.
En effet il faut aussi reconnaître que vous m'aviez permis de pouvoir économiser pas le coffre merci infiniment de grâce revoyez côté cadeau
hoo"
460,"Je dis oooh
Votre carte virtuelle là ,
Vous trillez homme , pour donner? Un ces à vos connaissances que vous donner tchai?"
461,"Merci pour tout, tu nous a vraiment sauvé"
462,Ma carte visa n'est pas encore activée
463,"Wave
mon préféré"
464,Il y a des gens qui prennent 100fr au retrait et au dépôt dans N'dotre la ici dès
465,Jai reçu ma carte virtuelle il y a quelques jours. J'aimerais savoir si je peux transférer de l'argent à partir de mon compte bancaire sur cette carte ?
466,C'est sa même
467,Wave côte d'Ivoire t’es le meilleur.
468,Les meilleurs
469,"Merci beaucoup wave
je me suis réveillé se matin
Ma carte visa est disponible."
470,Vous comptez être une banque ?
471,Wave mon combat
472,"Wave Côte d'Ivoire
j’ai activé ma carte mais es ce possible de l’avoir aussi physiquement ??"
473,"Merci pour la carte virtuelle
Wave Côte d'Ivoire
on est ensemble"
474,"Wave Côte d'Ivoire
mon combat a cause de vous je ne fais plus de retrait et dépôt ailleurs vous êtes les meilleurs"
475,Wave c'est toi moi je kiffe
476,Quel son les avantages pour les coffre fort?
477,Pourquoi prendre 1% sur le paiement marchand ?
478,J'adore ça
479,Vous êtes les meilleurs merci d’avoir dedja nos yeux
480,"J'attends la disponibilité de ma carte virtuelle
Wave Côte d'Ivoire"
481,"En tout cas, merci pour la révolution. Votre merci ne finira jamais. Seulement continuez à révolutionner ce secteur."
482,"Wave Côte d'Ivoire
Dans mon quartier ici à KORHOGO,il prend 100frs pour les retraits inférieur à 5000frs et donne pour justificatif problème de monnaie
Je peux vous transmettre une capture des transactions effectuées chez ce dernier
Maintenant côté Kdo, franchement je n'en ai pas besoin parce que ne pas avoir de Kdo dans la même journée après achats effectués via wave s'est énervant
Le comble, j'ai un Kdo en instance pour un achat de carburant
J'espère que je ne vous ai pas vexé avec mes propos
Pour finir j'ai besoin aussi de la carte visuelle Visa"
483,Comment faire pour avoir le numéro de quelqu'un qui a fait un retrait wave sur un téléphone volé svp?
484,"J'aimerais savoir quand est ce Nsia banque sera sur wave,il nous fatigue trop les fins de mois"
485,"Wave Côte d'Ivoire
sciencer dépôt 2k là-bas c'est gâté hein 07_11_52_98_38"
486,Carte visa de wave là sert à quoi expliquer moi un peu oh je viens de voir sur mon wave ?
487,"Comment retirer ce qui est ds le coffre ?
Et comment obtenir la carte virtuelle ?"
488,J'ai enfin eu ma carte virtuelle !!! Merci
489,Comment retirer sa carte
490,Je veux avoir ma carte bancaire wave
491,C'est les meilleurs
492,Plus pertinents
493,"Svp privilégier le côté visa concernant la carte cela sera très utile pour la population en général surtout pour les débrouard
Merci pour votre compréhension"
494,J'attends toujours mon multicoffre
495,Avec la carte virtuelle est ce que on peut m faire un virement d’Europe ?
496,Comment faire pour reisi la cat. j'ai là apricatsion suis mon weve
497,Voyez aussi pour BOA
498,"Mais nous on faire retrait ici ont paie 100f, dépôt 100f ."
499,"Wave Côte d'Ivoire
je veux ma carte virtuelle svp
Vous avez envoyé pour tout le monde sauf moi"
500,On utilise la carte comment svp
501,Habon je vais fais dépôt ooo
502,Pensez à la BOA également svp Wave
503,"J'ai ma carte virtuelle
depuis 2 mois très pratique à utiliser, j'ai oublié toutes mes cartes prépayées. Soutien total"
504,Comment faire pour avoir la carte visa sur mon appli ?
505,Moi j'ai un service de communication donc pour ça je veux faire dépôt retrait wave mais je sais pas comment faire
506,Aujourd'hui j'ai activé ma carte virtuelle Wave j'adore
507,Merci oh
508,Merci #wave d'avoir activer les cartes visa.
509,Ont dis donner nous crédit si sa finis ont vas prendre encore
510,Pourquoi ecobank n'est pas sur la liste des comptes bancaires à lié au compte WAVE ?
511,Vous êtes les meilleurs mais j'ai un soucis j'arrive pas à recharger mon compteur service prépayé avec wave
512,Et côté prêt là
513,A quand ma carte. J'attends toujours
514,Ma carte est disponible owwwww
515,"Wave Côte d'Ivoire
,un ami m'a dit une fois, que nous autre qui avons créer un compte wave business, pour une activité pendant les vacances, même si nous utilisons plus le business, dèh lors qu'il à été associé à notre compte normal, n'allons jamais avoir grande somme comment kdo même si nous utilisons wave a tous moments, j'aimerais savoir si celà est vrai.
Perso, ma plus grande récompense est 250,"
516,"Je dis oh , carte virtuelle la c’est à qui ont donne au juste"
517,Hier chargé canal et on m'a prélevé 5200f je n'ai pas compris.
518,Merci pour tout
519,"Wave Côte d'Ivoire
Bsic....."
520,depuis quand les dépôt wave sont gratuits
521,Merci pour la carte virtuelle
522,Et pour côté de prêt d'argent la
523,Merci wave que de bon chose dans votre vie
524,Vous êtes les meilleurs
525,Notre wave chou vous êtes les meilleurs
526,merci wave
527,Moi je l'ai déjà c'est vraiment formidable en plus maintenant j'arrive à transférer de l'argent depuis mon compte wave à mon compte bancaire vis versa wave reste la meilleure application de côté d'ivoire
528,On veut qu’il est un code sur les coffres
529,Big hop a vous
530,Wave est efficace même ! Merci de nous faciliter la tâche on vous aimes
531,"Bonsoir
Wave Côte d'Ivoire
façon j’ai sécurisé mon argent dans coffre la faut pas après samedi mon argent va disparaître hein .
Merci"
532,"Wave prenez ma vie cadeaux
on vous aime beaucoup"
533,La carte Wave ses a fait koi
534,VRAIMENT WAVE CE SONT LES MEILLEURS DES MEILLEURS
535,Mais je dis ho Wave Côte d'Ivoire depuis que j'ai gagné 10k avec vous je n'ai plus gagné même 250f j'ai fait quoi pour mériter cette punition
536,Vous êtes les meilleurs la vie est devenu trop facile avec vous
537,Suivre
538,"Nous demandons sg société générale sur les listes dès banque
slvp"
539,Si je dis que je suis pas content de votre apparition j’ai menti merci encore à vous et en plus pour la carte virtuelle
540,"Wave on paye canal+ avec frais maintenant, après on va faire retrait avec frais.c'est comme ça orange nous a eu avec Orange passe 100f"
541,À quand ma carte virtuelle
542,J'ai reçu ma carte virtuelle aujourd'hui merci wave.
543,Moi j'attends toujours ma carte virtuelle
544,Comment obtenir la carte visa ?
545,Maintenant pourquoi vous prélevez 200fr au niveau du paiement canal+
546,Comment lié sont compte Bancaire sgci ??
547,C vous les meilleurs
548,Je souhaiterais que wave côte d'Ivoire pense a la banque bsic aussi pour nous autres.
549,Moi j'ai la carte j'ai reçu pr moi ya 4 jour mais je sais pas comment utiliser sa expliquer moi svp
550,Comment on fait pour avoir cette carte
551,"Salut comment vous allez
Pour avoir la carte bancaire wave que sont les procédures"
552,ouiiiiii wave côte d'ivoire les meilleurs
553,A quand l épargne et le prêt wave
554,"Wave Côte d'Ivoire
comment fait-on pour activer la carte virtuelle ???"
555,Mais les gens prennent 100f avec l'homme toujours
556,Est ce que avec cette carte virtuelle on peut faire achat sur Alibaba
557,Dans mon quartier on impose 100fr
558,"Wave Côte d'Ivoire
le peuple est fière de vous"
559,"Merci infiniment de nous simplifier la vie
(Avec wave Tout est facile )"
560,Je n'ai pas encore voiture mais toujours bonus jusqu'à 1000 sur mon prochain paiement de carburant
561,Coucou wave est ce possible de pouvoir verrouiller son coffre svp ? Le coffre aussi doit avoir un mot de passe
562,"Wave Côte d'Ivoire
svp expliquez nous c'est dans quel loge il faut rentrer pour avoir la carte visa de wave ? Tchai"
563,Wave svp à quand les puces wave ?
564,mais et les cotisations de CMU sont-ils opérationnelle?
565,Merci wavcoted'ivoire
566,"Un arnaqueur en direct sur tiktok hinn
Il m'a bloqué
Wave Côte d'Ivoire"
567,Wave maintenant vous percevez des frais pour le réabonnement canal
568,"Wave un jour, wave toujours"
569,Vous maintenant on vous comprends là où on besoin de vos services c'est pas le car c'est quand vous allez vendre les unités on n'a plus besoin de ça que tout
570,"Wave Côte d'Ivoire
votre symbole, c'est un manchot où un pingouin ?"
571,J'adore wave
572,C’est SUPER !
573,"Merci
Wave Côte d'Ivoire
pour les cadeaux"
574,"Wave Côte d'Ivoire
Je t'aime"
575,Wave activé carte prépayée la sur mon compte maintenant sa durer hein purée
576,Wave je vais pas vous donner mon numéro vous aller activer ma carte je doit faire quelle que achat demain
577,"Merci beaucoup
vous êtes les meilleurs"
578,Wave Côte d'Ivoire
579,"Mais les frais sur le paiement canal
, on aurait pu avoir une petite notification hein!
Wave Côte d'Ivoire
, je ne vous ai pas connu comme ça hein!"
580,Nous on est impatients pour l'achat des unités via wave
581,Wave mon combat
582,Merci Wave cote d'ivoire
583,Merci pingouïnou
584,Wave c’est quelqu’un
585,Wave merci bien
586,"Bonjour
Wave Côte d'Ivoire
svp ma carte merci"
587,"CMU, CONTRAVENTIONS ET IMPÔTS"
588,"Wave Côte d'Ivoire
a quand mon compte visa wave ?"
589,"Prenez la peine de débloquer le compte des gens d’abord !!
Depuis Avril compte bloqué et malgré les réquisitions envoyées par le commissariat pour débloquer le compte !!
Et même des personnes du service client me disent que c’est pas normal !!
Le service fraude ne fait donc pas son travail certainement !!
A fuir !!!"
590,"Wave Côte d'Ivoire
WAVE WAVE, je vous ai appelé combien de fois. Je suis fatigué si vous ne voulez pas me donner la carte ne me donnez plus jamais. On vous appelle vous dites que c'est progressivement nos amis qui reçoivent là leur progressivement est comment et pour nous là c'est comment.
En tous cas je ne suis pas content
.
Cordialement"
591,est il possible de pouvoir payer le salaire par nos collaborateurs?
592,Moi j'attends les puces wave
593,"Regard comment c'est simple avec
Wave Côte d'Ivoire"
594,A quand les impôts ?
595,"Partout où il y a paiement
Wave Côte d'Ivoire
je suis partant sinon je bouge"
596,Plus pertinents
597,Moi j'attends de pouvoir recharger mon compte PlayStation store en utilisant mon compte wave
598,Moi j’attends ma carte visa
599,Fait vous allez créer votre puce svp
600,"Wave Côte d'Ivoire
Le peuple veut savoir si cela est vrai seulement on va cotiser pour envoyer les gens de ÉVENT LES GARS DE SURPRISE pour vous faire une surprise en guise de remerciement pour ce que vous avez faire pour la population ivoirienne"
601,Merci wave pour mon cadeau de 10k le week- end passé sur mon compte après avoir payer ma facture de 500f par wave dans une surface
602,Quand pour la carte CMU
603,"Wave je ne veux plus la carte visa.
Depuis combien d'années.je suis fatigué d'attendre.
Wave Côte d'Ivoire"
604,Merci wave. On est ensemble jusqu'à la gare
605,Moi je n'arrive plus à vous par le1315
606,Pour avoir carte virtuelle on dois etre dans secte oubien
607,Merci pour tout mais dites à quoi servent les 200 pour le rechargement de canal ?
608,Le pingouin fait des merveilles chaque jour félicitations
609,"Wave vous êtes venu soulager toute une population qui souffraient des désastres que causaient les autres, nous tous on a applaudit votre service, pour cela encore merci.
Mais dites nous ce que servent les 200f supplémentaires à chaque recharge de canal+? Si vous ne quittez pas derrière cette magouille, soyez en sûr que façon on vous a soulevé c'est comme ça qu'on va vous déposer."
610,Vous êtes le meilleur
611,"Merci a vous aussi pour l'ajout d'une carte prépayée parmi les fonctionnalités.
Je suis fan
Wave Côte d'Ivoire"
612,"Wave Côte d'Ivoire
pensez vraiment a bien sécurisé les fonds des personnes quand il perdent leur téléphone car deux jours là trop d'histoire similaire lors de la perte de leur téléphone"
613,"Merci beaucoup wave pour la carte visa.
Il était très difficile d'avoir une Carte visa"
614,"Merci pour tout mais j'ai une doléance faites aussi qu'on puisse payer nos cotisations CMU avec
Wave Côte d'Ivoire
svp"
615,Wave c'est l'homme aussi
616,"Merci beaucoup
Wave Côte d'Ivoire
Mais et Affaire de Carte Visa là ?
tout le monde n’a pas encore reçu hein"
617,"Wave aujourd'hui
Wave toujours
Merci beaucoup à vous, mais j’aurai ma carte visa virtuelle prépayée quand s’il vous plaît
.
Wave Côte d'Ivoire"
618,"Monsieur le CM de
Wave Côte d'Ivoire
dite au boss que la population dit qu’il n’a cas mettre un numéro chacun va faire un geste même si c’est 5fr juste pour vous dire merci"
619,Comment fait pour avoir la carte en main. J'ai la carte déjà sur l'application.
620,Et ma carte depuis la ça vient pas
621,Comment être un distributeur de votre carte
622,"Svp j'ai un problème j'arrive plus à me connecter sur mon compte wave
La puce refuse de s'afficher pourtant elle n'est pas identifier que dois-je faire je connais le numéro et le mot de passe"
623,"Merci à
Wave Côte d'Ivoire
pour tout
Je vous demande pardon de garder nos habitudes quand ont arrive à l'intérieur
Facilité les opérations, les comptes marchands
Iriéflaonline Officiel"
624,"Wave , j'aimerais créer un compte plafonné
Se qui va me permettre de faire des dépôts de plus d' 1millions"
625,Merci bien
626,Wave a pris tous le relère forttttt
627,"Waveeeeeeeeeeeeeeeeee côté d'ivoire
s'était mon anniversaire même pas reçu un message hummmm leS pingouins violet ont fait pas sa heinnn"
628,Affaire de carte visa là si tu n'est pas influent ou un debout impossible de l'avoir
629,"Nous avons besoin d'un guichet automatique.
Wave Côte d'Ivoire"
630,"Wave ooh, je veux savoir qqch inh..
À Yamoussoukro les paiements marchants, on paie des frais ??
Parce que bien que ça ne propose pas, la vendeuse insiste pour que tu ajouté les frais dessus..
Walaye j'ai bien fais palabre, j'ai bâtard jusqu'à... mm si c'était 35 Fr les frais
.
Mais vraiment je veux comprendre svp."
631,Ils ont commencé à anarquer Les citoyens du pays au nom de weav il vous embrouille avec une communication sous prétexte d un dépôt weav gratuit et vous demande votre code secret si tu n ès pas vigilant il vont te faire ça bien ils sont sur tiktok actuellement c'est se ki se passe donc vigilance
632,"Wave Côte d'Ivoire
on veut acheter des unités"
633,Wave c'est l'homme hein. Maintenant mm 5fr je me promene plus avec tchaaiiii
634,"Wave Côte d'Ivoire
l'homme va finis de faire achat plus de 500mil et vous envoyer cadeau on gratte pas de chance ... maintenant je vais retirer et payer c'est mieux .
Je vais mettre la mains sur vous"
635,On a compris mais nous notre affaire d'unité la c'est comment ?
636,"Wave Côte d'Ivoire
donc avec vous ont va payer frais de rechargement canal+"
637,Vraiment merci beaucoup wave pour grand service client fidèle
638,On a besoin maintenant votre carte magnétique svp
639,À quoi ça sert de donner un cadeau vide à quelqu'un ? J'ai pas aimé hein
640,Bonjour wave cote d ivoire. J’ai un problème. Je suis en Europe mais je veux agrandir mon compte jusqu’à 5m comment faire svp
641,Wave j'ai pas encore vu ma carte Visa
642,"Je fais tout mes transactions avec wave
tranquille"
643,"Wave Côte d'Ivoire
qu'est ce qui se passe à San pedro et puis les stations services refusent les payements par wave maintenant"
644,Wave on dirais pour avoir carte visa là vous regarder visage hin
645,Bonjour OK
646,Dieu bénisse tous les agents de wave partout dans le monde
647,"Vous qui vous battez d'être dans sectes pour avoir sa carte virtuelle, LOL revenez sur terre, la mienne vient d'être activé depuis hier et c'est chic hein , en même temps premier achat trop cool .
Wave Côte d'Ivoire
à vie"
648,"Wave Côte d'Ivoire
dites moi pourquoi est-ce que je suis bloqué, ça fait 1 semaine que n'arrive pas à passer la 22e étape pourtant je fais des achats. Je ne comprends rien"
649,Vois êtes les meilleurs @wave !
650,"Bonjour
Wave Côte d'Ivoire
je tenais personnellement à saluer tous les efforts que vous faites pour nous améliorer le quotidien mais cette affaire de carte visa là veut gâter hein . Tout mon entourage sauf moi ahiii c’est ancien discours ?"
651,"Merci
Wave Côte d'Ivoire
j'ai reçu ma carte prépayée"
652,A yopougnon on demande toujours 100f retrait comme dépôt
653,Mais les carte visa la voyez mon cas
654,"Merci
a vous wave"
655,"Bonjour
Wave Côte d'Ivoire"
656,"Merci beaucoup les gars pour tous ce que vous faites pour les Ivoiriens. Mais j'ai une question à propos de la vente des unités, c'est confirmé ou pas ???"
657,Faites vous allez créer puce wave
658,"Bonjour
Wave Côte d'Ivoire
, je ne suis pas du tout content. Depuis la semaine passée je vous écris par rapport à votre API par messenger et par WhatsApp et on tourne en boucle. En effet, ils avaient demandé mes informations et j’ai fourni, ils disent d’attendre et je viens de vous relancer et me demander encore les mêmes informations. Je comprends plus, on tourne vraiment en boucle et jusque là j’ai pas eu des réponses pertinentes à mes requêtes ni une suite favorable. Quand bien même j’ai choisi de discuter avec un agent, j’ai l’impression de discuter en boucle avec un robot"
659,Tu es unique wave
660,"Wave Côte d'Ivoire
où est ma carte visa"
661,Comment ce faire t’il que certaine personnes ce vont passer pour des agents de wave pour avoir des informations sur notre compte sans que vous ne le sachiez
662,"Vous là donnez bon cadeaux
c’ quelle 100 frs vous donnez à l’homme la"
663,"Wave Côte d'Ivoire
La carte est où ?
Je vous attends depuis là"
664,Le meilleur …
665,Et ma carte ? De porter plainte !???
666,Pourquoi wave a gelé mes 30mil et depuiiis ya pas de suite ????
667,"Wave Côte d'Ivoire
c’est votre carte visa là j’attends comme ça depuis je vérifie mon application wave chaque 10 min mais je vois rien d’abord"
668,"Wave est avare hein même dans vidéo c’est a moindre coût aussi . Vidéo Pingouin
. On vous aime Wave Côte d’Ivoire"
669,J'ai reçu ma carte visa hier. Merci Wave
670,"Wave Côte d'Ivoire
, vous êtes les meilleurs ! Je suis vraiment satisfait de votre service. Je viens de payer avec la carte visa que vous m’avez donnée et je tenais à vous dire que Dieu vous bénisse. Vous êtes vraiment les meilleurs ! Je voudrais savoir s’il serait possible d’obtenir la carte physique, la carte Visa, s’il vous plaît."
671,"Wave Côte d'Ivoire
mais c’est comment pour ma carte prépayée ?"
672,Je veux multiple coffre eh depuis la
673,toujours kaler
674,J’attends ma carte visa s’il vous plaît
675,"Bsr a part se souvenir des dernières dépôts et retraits ou le montant fixe sur votre compte, quelle solution wave propose a ses clients qui ont demandé de bloqué leurs comptes après une perte de téléphone de débloquer son compte,puisque vous avez pas d'agence pour les préoccupations"
676,Wave côte d'ivoire quant est ce que j aurais ma carte virtuelle ?
677,"C'est ça pourquoi nous qui avons été les premiers abonnés de wave, sommes toujours les derniers servi? Depuis que la carte est sortie nous n'en disposons pas. Mais je aime je vais faire comment ?"
678,Chose bizarre je n’ai jamais de cadeaux
679,Wave j'ai récu un dépôt depuis le 06 qui vient du broukina hier je vais retiré on dit qu'il n'y a rien sur mon compte
680,"Bonjour mr je me présente ahiman cedric
Moi et mes collaborateurs organisons des projets evenementiels nous avons besoin de sponsors comme faire pour travailler avec vous ??"
681,"Merci
Wave Côte d'Ivoire"
682,Wave j'ai pas encore reçu ma carte visa
683,Je veux ma carte visa
684,On peut recevoir de l'argent à l'étranger ?
685,"Bonjour Wave Côte-d’Ivoire
Une petite suggestion
Un système de dépôt automatique pour les coffre nous arrangerait bien surtout pour nous qui voulons épargner des fois on oublie d’allée mettre de l’argent dans le coffre
Ça sera bien si le coffre débitait directement chaque jour le montant que vous voulez épargnez
Merci"
686,Wave de mon cœur
687,"Merci Wave, avec ma carte wave je paie moins sur Méta pour mes pubs."
688,Je n'ai pas encore reçu ma carte visa
689,"Merci wave pour ma carte virtuelle.
Est ce que depuis l'extérieur je peux faire des paiements?"
690,"Je souhaiterais que wave, initie une option selon laquelle, les populations puissent contracter un prêt pour les différents besoins ( Commerce, business, ou autre projet) et les débiter selon un mode dont les populations seront à l'aise."
691,Les champions tout terrain.
692,"Wave Côte d'Ivoire
, merci je viens de voir l'activation de ma carte prépayée"
693,"Donc la carte virtuelle ont n’a pas le droit c’est quelque discrimination ça
Wave Côte d'Ivoire"
694,Merci beaucoup wave côte d'ivoire
695,Forcément wave wave
696,Bsr wave côté d'ivoire chez nous ici ya certaines personnes qui font les retraits et prenne 100f c'est normal?
697,Quel sont les procédures pour avoir un carte prépayée wave
698,Pourquoi certains l'ont reçu et pas nous alors que nous faisons beaucoup de transactions sur wave
699,"Souvent tu atteins l´étape de récompense et tu penses que tu as eu cadeaux dès que tu grattes tu constates qu´on te dit tu n´as rien gagné,j'ai eu mm ce problème la dernière fois après mon achat de plus 1000 fr"
700,Plus pertinents
701,"Bonjour wave côte d'ivoire, j'ai une question svp vu les élections qui arrivent est ce que notre argent sera bien sécurisé, faut pas on va dire problème réseau l argent a disparue"
702,"Wave Côte d'Ivoire
Toujours pas reçu ma carte prépayée. Dois-je intégré quelle secte?"
703,"Wave, à Yamoussoukro il y a des frais pour les paiements marchands ???"
704,Mais Mois je veux ajouter plus comment faire
705,Je n'ai toujours pas ces différents coffres là
706,"Wave Côte d'Ivoire
merci beaucoup pour votre travail. Franchement dit sa nous aider énormément. Et j'espère que cela durera éternellement."
707,J' ai bloqué mon compte wave comment je vais faire pour débloquer
